LocalTime,Power(MW)
1/1/2006 0:00,0
1/1/2006 1:00,0
1/1/2006 2:00,0
1/1/2006 3:00,0
1/1/2006 4:00,0
1/1/2006 5:00,0
1/1/2006 6:00,0
1/1/2006 7:00,0
1/1/2006 8:00,0
1/1/2006 9:00,0
1/1/2006 10:00,0
1/1/2006 11:00,0
1/1/2006 12:00,0
1/1/2006 13:00,0
1/1/2006 14:00,0
1/1/2006 15:00,0
1/1/2006 16:00,0
1/1/2006 17:00,0
1/1/2006 18:00,0
1/1/2006 19:00,0
1/1/2006 20:00,0
1/1/2006 21:00,0
1/1/2006 22:00,0
1/1/2006 23:00,0
1/2/2006 0:00,0
1/2/2006 1:00,0
1/2/2006 2:00,0
1/2/2006 3:00,0
1/2/2006 4:00,0
1/2/2006 5:00,0
1/2/2006 6:00,0
1/2/2006 7:00,0
1/2/2006 8:00,3.3
1/2/2006 9:00,13.5
1/2/2006 10:00,17
1/2/2006 11:00,1.9
1/2/2006 12:00,1.5
1/2/2006 13:00,1.1
1/2/2006 14:00,0.7
1/2/2006 15:00,0.1
1/2/2006 16:00,0
1/2/2006 17:00,0
1/2/2006 18:00,0
1/2/2006 19:00,0
1/2/2006 20:00,0
1/2/2006 21:00,0
1/2/2006 22:00,0
1/2/2006 23:00,0
1/3/2006 0:00,0
1/3/2006 1:00,0
1/3/2006 2:00,0
1/3/2006 3:00,0
1/3/2006 4:00,0
1/3/2006 5:00,0
1/3/2006 6:00,0
1/3/2006 7:00,0
1/3/2006 8:00,0
1/3/2006 9:00,0.1
1/3/2006 10:00,0.4
1/3/2006 11:00,16.9
1/3/2006 12:00,22.4
1/3/2006 13:00,21.1
1/3/2006 14:00,12.1
1/3/2006 15:00,11.4
1/3/2006 16:00,0.2
1/3/2006 17:00,0
1/3/2006 18:00,0
1/3/2006 19:00,0
1/3/2006 20:00,0
1/3/2006 21:00,0
1/3/2006 22:00,0
1/3/2006 23:00,0
1/4/2006 0:00,0
1/4/2006 1:00,0
1/4/2006 2:00,0
1/4/2006 3:00,0
1/4/2006 4:00,0
1/4/2006 5:00,0
1/4/2006 6:00,0
1/4/2006 7:00,0
1/4/2006 8:00,2
1/4/2006 9:00,12.5
1/4/2006 10:00,19
1/4/2006 11:00,14.5
1/4/2006 12:00,21.2
1/4/2006 13:00,21.2
1/4/2006 14:00,17.6
1/4/2006 15:00,11.5
1/4/2006 16:00,5
1/4/2006 17:00,0
1/4/2006 18:00,0
1/4/2006 19:00,0
1/4/2006 20:00,0
1/4/2006 21:00,0
1/4/2006 22:00,0
1/4/2006 23:00,0
1/5/2006 0:00,0
1/5/2006 1:00,0
1/5/2006 2:00,0
1/5/2006 3:00,0
1/5/2006 4:00,0
1/5/2006 5:00,0
1/5/2006 6:00,0
1/5/2006 7:00,0
1/5/2006 8:00,4
1/5/2006 9:00,9.2
1/5/2006 10:00,17
1/5/2006 11:00,21.4
1/5/2006 12:00,22.6
1/5/2006 13:00,20.5
1/5/2006 14:00,15.1
1/5/2006 15:00,12
1/5/2006 16:00,5.1
1/5/2006 17:00,0
1/5/2006 18:00,0
1/5/2006 19:00,0
1/5/2006 20:00,0
1/5/2006 21:00,0
1/5/2006 22:00,0
1/5/2006 23:00,0
1/6/2006 0:00,0
1/6/2006 1:00,0
1/6/2006 2:00,0
1/6/2006 3:00,0
1/6/2006 4:00,0
1/6/2006 5:00,0
