Year,Month,Day,Hour,Minute,LocalTime,TIME,DATE,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,Cloud Type,Fill Flag,Wind Direction,Precipitable Water,DHI,DNI,Clearsky DNI,Clearsky DHI,Clearsky GHI,GHI,Solar Zenith Angle,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2006,1,1,4,0,2006-01-01 04:00:00,04:00:00,2006-01-01,2.0,0.116,0.4,100.0,2.0,980.0,7.0,0.0,290.6,0.968,0,0,0,0,0,0,132.46,0.0,0.0
2006,1,1,4,30,2006-01-01 04:30:00,04:30:00,2006-01-01,2.0,0.116,0.4,100.0,1.0,980.0,7.0,0.0,290.6,0.955,0,0,0,0,0,0,126.34,0.0,0.0
2006,1,1,5,0,2006-01-01 05:00:00,05:00:00,2006-01-01,2.0,0.116,0.4,100.0,1.0,980.0,7.0,0.0,301.7,0.942,0,0,0,0,0,0,120.25,0.0,0.0
2006,1,1,5,30,2006-01-01 05:30:00,05:30:00,2006-01-01,1.0,0.116,0.4,100.0,1.0,980.0,0.0,0.0,301.7,0.928,0,0,0,0,0,0,114.21,0.0,0.0
2006,1,1,6,0,2006-01-01 06:00:00,06:00:00,2006-01-01,1.0,0.116,0.4,100.0,1.0,980.0,0.0,0.0,310.9,0.915,0,0,0,0,0,0,108.27,0.0,0.0
2006,1,1,6,30,2006-01-01 06:30:00,06:30:00,2006-01-01,0.0,0.116,0.4,100.0,0.0,980.0,0.0,0.0,310.9,0.903,0,0,0,0,0,0,102.43,0.0,0.0
2006,1,1,7,0,2006-01-01 07:00:00,07:00:00,2006-01-01,0.0,0.116,0.4,100.0,0.0,990.0,0.0,0.0,323.5,0.892,0,0,0,0,0,0,96.73,0.0,0.0
2006,1,1,7,30,2006-01-01 07:30:00,07:30:00,2006-01-01,0.0,0.116,0.4,100.0,0.0,990.0,0.0,0.0,323.5,0.875,0,0,0,0,0,0,91.2,0.0,0.0
2006,1,1,8,0,2006-01-01 08:00:00,08:00:00,2006-01-01,0.0,0.116,0.4,100.0,0.0,990.0,0.0,0.0,335.4,0.859,23,391,391,23,51,51,85.88,0.0,0.0
2006,1,1,8,30,2006-01-01 08:30:00,08:30:00,2006-01-01,0.0,0.116,0.4,100.0,0.0,990.0,0.0,0.0,335.4,0.847,38,597,597,38,133,133,80.82,0.0,0.0
2006,1,1,9,0,2006-01-01 09:00:00,09:00:00,2006-01-01,0.0,0.116,0.4,100.0,0.0,990.0,1.0,0.0,343.1,0.835,62,521,711,48,220,187,76.08,9.0623,6.9507
2006,1,1,9,30,2006-01-01 09:30:00,09:30:00,2006-01-01,0.0,0.116,0.4,100.0,0.0,990.0,0.0,0.0,343.1,0.836,89,512,786,56,302,249,71.72,12.5486,9.695
2006,1,1,10,0,2006-01-01 10:00:00,10:00:00,2006-01-01,0.0,0.116,0.4,98.17,0.0,990.0,0.0,0.0,351.9,0.838,60,837,837,60,377,377,67.81,19.6692,15.2699
2006,1,1,10,30,2006-01-01 10:30:00,10:30:00,2006-01-01,0.0,0.116,0.5,98.2,0.0,990.0,0.0,0.0,351.9,0.856,64,875,875,64,442,442,64.45,23.6706,18.4327
2006,1,1,11,0,2006-01-01 11:00:00,11:00:00,2006-01-01,0.0,0.116,0.7,96.55,0.0,990.0,1.0,0.0,357.4,0.874,67,902,902,67,494,494,61.73,26.9483,21.0258
2006,1,1,11,30,2006-01-01 11:30:00,11:30:00,2006-01-01,0.0,0.116,0.5,89.86,1.0,990.0,7.0,0.0,357.4,0.897,149,580,922,69,533,442,59.73,24.4063,19.065
2006,1,1,12,0,2006-01-01 12:00:00,12:00:00,2006-01-01,1.0,0.116,0.3,93.71,2.0,990.0,7.0,4.0,354.4,0.92,69,936,936,69,558,558,58.53,31.0205,24.247
2006,1,1,12,30,2006-01-01 12:30:00,12:30:00,2006-01-01,1.0,0.116,0.3,87.33,3.0,990.0,0.0,0.0,354.4,0.956,69,941,941,69,566,566,58.18,31.525,24.6456
2006,1,1,13,0,2006-01-01 13:00:00,13:00:00,2006-01-01,1.0,0.116,0.3,75.44,5.0,990.0,7.0,0.0,342.4,0.993,67,945,945,67,558,558,58.69,30.9932,24.2237
2006,1,1,13,30,2006-01-01 13:30:00,13:30:00,2006-01-01,1.0,0.116,0.2,70.41,6.0,990.0,7.0,0.0,342.4,1.044,66,936,936,66,533,533,60.05,29.3763,22.9432
2006,1,1,14,0,2006-01-01 14:00:00,14:00:00,2006-01-01,2.0,0.116,0.1,66.88,7.0,990.0,0.0,0.0,353.0,1.095,63,921,921,63,493,493,62.19,26.8143,20.9149
2006,1,1,14,30,2006-01-01 14:30:00,14:30:00,2006-01-01,2.0,0.116,0.1,62.49,9.0,990.0,0.0,0.0,353.0,1.047,61,895,895,61,439,439,65.04,23.4087,18.22
2006,1,1,15,0,2006-01-01 15:00:00,15:00:00,2006-01-01,1.0,0.116,0.1,52.31,11.0,990.0,0.0,0.0,75.4,1.0,58,855,855,58,371,371,68.51,19.2422,14.9273
2006,1,1,15,30,2006-01-01 15:30:00,15:30:00,2006-01-01,1.0,0.116,0.1,48.95,12.0,990.0,8.0,0.0,75.4,0.915,53,799,799,53,293,293,72.51,14.6578,11.3114
2006,1,1,16,0,2006-01-01 16:00:00,16:00:00,2006-01-01,0.0,0.116,0.1,43.73,13.0,990.0,0.0,0.0,175.5,0.832,47,707,707,47,206,206,76.95,9.9193,7.5957
2006,1,1,16,30,2006-01-01 16:30:00,16:30:00,2006-01-01,0.0,0.116,0.1,43.72,13.0,990.0,0.0,0.0,175.5,0.785,36,572,572,36,118,118,81.76,0.0,0.0
2006,1,1,17,0,2006-01-01 17:00:00,17:00:00,2006-01-01,1.0,0.116,0.2,41.98,14.0,990.0,0.0,0.0,189.1,0.739,19,318,318,19,37,37,86.87,0.0,0.0
2006,1,1,17,30,2006-01-01 17:30:00,17:30:00,2006-01-01,1.0,0.116,0.2,41.98,14.0,990.0,0.0,0.0,189.1,0.726,0,0,0,0,0,0,92.23,0.0,0.0
2006,1,1,18,0,2006-01-01 18:00:00,18:00:00,2006-01-01,2.0,0.116,0.3,45.06,14.0,990.0,0.0,0.0,179.4,0.714,0,0,0,0,0,0,97.8,0.0,0.0
2006,1,1,18,30,2006-01-01 18:30:00,18:30:00,2006-01-01,2.0,0.116,0.3,45.07,14.0,990.0,0.0,0.0,179.4,0.719,0,0,0,0,0,0,103.52,0.0,0.0
2006,1,1,19,0,2006-01-01 19:00:00,19:00:00,2006-01-01,4.0,0.116,0.3,51.23,14.0,990.0,0.0,0.0,170.2,0.724,0,0,0,0,0,0,109.39,0.0,0.0
2006,1,1,19,30,2006-01-01 19:30:00,19:30:00,2006-01-01,4.0,0.116,0.4,58.37,12.0,990.0,0.0,0.0,170.2,0.742,0,0,0,0,0,0,115.35,0.0,0.0
2006,1,1,20,0,2006-01-01 20:00:00,20:00:00,2006-01-01,6.0,0.116,0.5,73.07,11.0,990.0,0.0,0.0,159.7,0.76,0,0,0,0,0,0,121.4,0.0,0.0
2006,1,1,20,30,2006-01-01 20:30:00,20:30:00,2006-01-01,6.0,0.116,0.7,83.51,9.0,990.0,0.0,0.0,159.7,0.8,0,0,0,0,0,0,127.49,0.0,0.0
2006,1,1,21,0,2006-01-01 21:00:00,21:00:00,2006-01-01,3.0,0.116,1.0,72.35,8.0,990.0,0.0,0.0,151.4,0.842,0,0,0,0,0,0,133.61,0.0,0.0
2006,1,1,21,30,2006-01-01 21:30:00,21:30:00,2006-01-01,3.0,0.116,0.8,77.47,7.0,990.0,0.0,0.0,151.4,0.911,0,0,0,0,0,0,139.73,0.0,0.0
2006,1,1,22,0,2006-01-01 22:00:00,22:00:00,2006-01-01,3.0,0.116,0.7,83.69,6.0,990.0,0.0,0.0,146.4,0.98,0,0,0,0,0,0,145.79,0.0,0.0
2006,1,1,22,30,2006-01-01 22:30:00,22:30:00,2006-01-01,3.0,0.116,0.5,83.7,6.0,990.0,0.0,0.0,146.4,1.071,0,0,0,0,0,0,151.72,0.0,0.0
2006,1,1,23,0,2006-01-01 23:00:00,23:00:00,2006-01-01,3.0,0.116,0.4,85.04,6.0,990.0,3.0,0.0,145.5,1.162,0,0,0,0,0,0,157.39,0.0,0.0
2006,1,1,23,30,2006-01-01 23:30:00,23:30:00,2006-01-01,3.0,0.116,0.4,85.05,6.0,990.0,0.0,0.0,145.5,1.278,0,0,0,0,0,0,162.49,0.0,0.0
2006,1,2,0,0,2006-01-02 00:00:00,00:00:00,2006-01-02,3.0,0.116,0.4,86.84,6.0,990.0,7.0,0.0,144.5,1.394,0,0,0,0,0,0,166.35,0.0,0.0
