Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1058343,-,-,-,36.13,-80.26,-5,289,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,GHI,Clearsky GHI,Clearsky DNI,Clearsky DHI,Cloud Type,Solar Zenith Angle,Fill Flag,Precipitable Water,Wind Direction,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2006,1,1,0,0,0,0,0,0.132,1.3,100,0,970,0,0,0,0,7,165.85,0,0.865,293.8,0.0000,0.0000
2006,1,1,0,30,0,0,0,0.132,1.2000000000000002,100,0,970,0,0,0,0,7,166.82,0,0.873,293.8,0.0000,0.0000
2006,1,1,1,0,0,0,0,0.132,1.2000000000000002,99.41,0,970,0,0,0,0,7,164.79,0,0.881,303.1,0.0000,0.0000
2006,1,1,1,30,0,0,0,0.132,1.1,99.43,0,970,0,0,0,0,1,160.68,0,0.883,303.1,0.0000,0.0000
2006,1,1,2,0,0,0,0,0.132,1.1,97.55,0,970,0,0,0,0,0,155.54,0,0.885,309.40000000000003,0.0000,0.0000
2006,1,1,2,30,0,0,0,0.132,1.1,97.57000000000001,0,980,0,0,0,0,0,149.9,0,0.887,309.40000000000003,0.0000,0.0000
2006,1,1,3,0,0,0,-1,0.132,1.1,100,-1,980,0,0,0,0,7,144.02,0,0.889,316.40000000000003,0.0000,0.0000
2006,1,1,3,30,0,0,-1,0.132,1.1,100,-1,980,0,0,0,0,7,138.02,0,0.882,316.40000000000003,0.0000,0.0000
2006,1,1,4,0,0,0,-1,0.132,1.1,100,-1,980,0,0,0,0,4,131.97,0,0.876,320.20000000000005,0.0000,0.0000
2006,1,1,4,30,0,0,-1,0.132,1.1,100,-1,980,0,0,0,0,0,125.92,0,0.88,320.20000000000005,0.0000,0.0000
